"Unit Name","Description"
"%","percent"
"% of total LSU","percent of total Livestock Units"
"(LCU/1000 kcal)","local currency units per 1000 kilocalories"
"°C","degrees celsius"
"0.1g/An","0.1 grams per animal"
"1000 $","1000 dollars"
"1000 ha","thousand hectares"
"1000 Head","thousand head"
"1000 I$","1000 international dollars"
"1000 No","thousand number"
"1000 persons","1000 persons"
"1000 tonnes","thousand tonnes"
"1000 US$","1000 United States dollars"
"100mg/An","100 milligrams per animal"
"g","grams"
"g CH4/kg dry matter","grams of methane per kilogram of dry matter"
"g CH4/m2","grams of methane per square metre"
"g CO2/kg dry matter","grams of carbon dioxide per kilogram of dry matter"
"g N20/kg dry matter","grams of nitrous oxide per kilogram of dry matter"
"g/capita/day","grams per capita per day"
"g/kWh","grams per kilowatt hour"
"gigagrams","gigagrams"
"ha","hectares"
"Head","head"
"hg","hectogram"
"hg/An","hectograms per animal"
"hg/ha","hectograms per hectare"
"hg/mt","hectograms per metric tonne"
"I$","international dollar"
"I$ per person","international dollars per person"
"index","index"
"kcal","kilocalorie"
"kcal/capita/day","kilocalorie per capita per day"
"kg","kilograms"
"kg CH4/head","kilograms of methane per head"
"kg CO2eq/kg product","kilograms of carbon dioxide equivalents per kilogram of product"
"kg N2O-N/ha","kilograms of nitrogen in nitrous oxide per hectare"
"kg N2O-N/kg N","kilograms of nitrogen in nitrous oxide per kilogram of nitrogen"
"kg of nutrients","kilograms of nutrients"
"kg/ha","kilograms per hectare"
"kg/TJ","kilograms per terajoule"
"LCU","local currency unit"
"LCU/mt","local currency units per metric tonne"
"LCU/person/day","local currency units per person per day"
"m3","cubic metres"
"million kcal","million kilocalories"
"million kWh","million kilowatts"
"million tonnes","million tonnes"
"millions","millions"
"No","number"
"No/An","number per animal"
"per 100 square km of land area","per 100 square kilometre of land area"
"persons","persons"
"SLC","standard local currency"
"Terajoule","Terajoule"
"tonnes","tonnes"
"tonnes C/ha","tonnes of carbon per hectare"
"tonnes CO2/ha","tonnes of carbon dioxide per hectare"
"US$","United States dollar"
"USD","United States dollar"
